name,lat,lng,title,imageURL
北海道函館市,41.8596,140.9399,薄桜鬼 真改,https://animetourism88.com/wp-content/uploads/2023/09/key_hakuouki_shinkai_RGB-1.jpg
北海道函館市,41.8596,140.9399,ラブライブ！サンシャイン!!,https://animetourism88.com/wp-content/uploads/2023/09/LLSunshine_main.jpg
青森県むつ市,41.2873,141.0514,艦隊これくしょん －艦これ－,https://animetourism88.com/wp-content/uploads/2023/09/Kancolle_main-1.jpg
宮城県岩沼市,38.0971,140.8592,バクテン!!,https://animetourism88.com/wp-content/uploads/2023/12/Web_210310_bakuten_KV3_RGB_trim.jpg
秋田県横手市,39.2513,140.5252,釣りキチ三平,https://animetourism88.com/wp-content/uploads/2023/12/Tsurikichi_main.jpg
山形県米沢市,37.8606,140.1168,好きでも嫌いなあまのじゃく,https://animetourism88.com/wp-content/uploads/2025/02/%E5%A5%BD%E3%81%8D%E3%81%A7%E3%82%82%E5%AB%8C%E3%81%84%E3%81%AA%E3%81%82%E3%81%BE%E3%81%AE%E3%81%98%E3%82%83%E3%81%8FKV%E3%83%87%E3%83%BC%E3%82%BF-scaled.jpg
福島県会津若松市,37.452,139.9762,薄桜鬼 真改,https://animetourism88.com/wp-content/uploads/2023/09/Hakuoki_Fukushima_sub.jpg
福島県須賀川市,37.2981,140.3204,ウルトラマンシリーズ,https://animetourism88.com/wp-content/uploads/2023/09/ULTRAMAN_sub.jpg
茨城県大洗町,36.2963,140.5587,ガールズ&パンツァー 最終章,https://animetourism88.com/wp-content/uploads/2023/09/girlsundpanzer_main.jpg
栃木県栃木市,36.3487,139.6882,秒速5センチメートル,https://animetourism88.com/wp-content/uploads/2023/09/5cm_main.jpg
群馬県高崎市,36.3409,138.886,菜なれ花なれ,https://animetourism88.com/wp-content/uploads/2025/02/%E8%8F%9C%E3%81%AA%E3%82%8C%E8%8A%B1%E3%81%AA%E3%82%8C_%E5%8D%94%E4%BC%9A%E7%94%A8%E5%A0%B4%E9%9D%A2%E5%86%99_%E9%AB%98%E5%B4%8E%E5%B8%82.jpg
群馬県沼田市,36.646,139.0441,菜なれ花なれ,https://animetourism88.com/wp-content/uploads/2025/02/%E8%8F%9C%E3%81%AA%E3%82%8C%E8%8A%B1%E3%81%AA%E3%82%8C_%E5%8D%94%E4%BC%9A%E7%94%A8KV-scaled.jpg
群馬県館林市,36.2448,139.5419,宇宙よりも遠い場所,https://animetourism88.com/wp-content/uploads/2023/09/A.jpg
埼玉県さいたま市岩槻区,35.9498,139.6941,その着せ替え人形は恋をする,https://animetourism88.com/wp-content/uploads/2024/04/14_bisque_KV.jpg
埼玉県川越市,35.8999,139.4678,神様はじめました,https://animetourism88.com/wp-content/uploads/2023/09/Kamisama_main.jpg
埼玉県川越市,35.8999,139.4678,月がきれい,https://animetourism88.com/wp-content/uploads/2023/12/ecd8f95c91508ee80438554497003ec4_re.jpg
埼玉県秩父市,35.9916,139.0854,あの日見た花の名前を僕達はまだ知らない。,https://animetourism88.com/wp-content/uploads/2023/09/Anohana_main.jpg
埼玉県秩父市,35.9916,139.0854,心が叫びたがってるんだ。,https://animetourism88.com/wp-content/uploads/2023/09/Kokosake_main.jpg
埼玉県秩父市,35.9916,139.0854,空の青さを知る人よ,https://animetourism88.com/wp-content/uploads/2023/12/19___re.jpg
埼玉県所沢市,35.8034,139.4625,女子高生の無駄づかい,https://animetourism88.com/wp-content/uploads/2023/12/Web___.jpg
埼玉県飯能市,35.8943,139.2372,ヤマノススメ Next Summit,https://animetourism88.com/wp-content/uploads/2023/12/Web_3_2.jpg
埼玉県蕨市,35.8246,139.6864,さよなら私のクラマー,https://animetourism88.com/wp-content/uploads/2025/02/%E3%82%AF%E3%83%A9%E3%83%9E%E3%83%BC_TV%E7%89%88_%E5%A4%89%E6%9B%B4KV.jpg
埼玉県和光市,35.7898,139.6221,『冴えない彼女の育てかた』シリーズ,https://animetourism88.com/wp-content/uploads/2023/09/shf_3_.jpg
埼玉県久喜市,36.0869,139.6423,らき☆すた,https://animetourism88.com/wp-content/uploads/2023/12/LuckyStar_Main.jpg
埼玉県横瀬町,35.9873,139.0997,心が叫びたがってるんだ。,https://animetourism88.com/wp-content/uploads/2023/09/23_-scaled.jpg
